,Resin#,Reactor,Reaction Solvent,AN,OHN,OHN (primary),OHN (secondary),IV,IV - Intrinsic,Tg,Tg∞ (°C),Cyclic Oligomer (%),Mn (PS),Mw (PS),Mz (PS),PDI (PS),Mn (abs),Mw (abs),Mz (abs),PDI (abs),%SA,%ADP,%DDDA,%AZL,"%1,4-CHDA","%1,4-CHDA (95% trans)","%1,3-CHDA","%1,2-CHDA",%HHPA,%PA,%IPA,%TPA,%TMA,%Total Acid,%EG,%DEG,"%1,3-PROP","%1,4-BUT",%HDO,%NPG,"%1,4-CHDM","%1,3-CHDM",%TMCD,%TMP,%MPD,%TCDDM,%Total Glycol,End,uncertainty,abs_error
176,201,Rig,Neat,4.56,16.701781,,,0.257,0.262,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100.0,,,,,,,57.2,,42.6,,,,99.9,,1.3447046279907227,0.006921350955963135
189,231,Rig,Neat,3.75,20.7,,,0.302,0.308,,,,,,,,,,,,,,,,,,,,,,85.0,15.0,,100.0,,,,,,,60.0,,40.0,,,,100.0,,1.3718061447143555,0.06435908377170563
160,180,Rig,Neat,3.59,21.50671606,,,0.239,0.243,,,,,,,,,,,,,,,,,,,,,,84.9,15.1,,100.0,,,,,,,55.8,,44.2,,,,100.0,,1.3834129571914673,0.003111541271209717
276,C44,,,,,,,0.23800000000000002,,76.0,89.0,0.48,7199.0,18022.0,31590.0,2.503,,,,,,,,,,,100.0,,,,,,,100.0,,,,,,,,,100.0,,,,100.0,,1.4145838022232056,0.07067719101905823
159,179,Rig,Neat,3.44,21.50671606,,,0.242,0.245,,,,,,,,,,,,,,,,,,,,,,84.9,15.1,,100.0,,,,,,,55.8,,44.2,,,,100.0,,1.4195497035980225,0.0041672587394714355
265,C33,,,,,,,0.636,,42.0,45.0,0.23,16587.0,49962.0,86005.0,3.012,,,,,,,,,100.0,,,,,,,,,100.0,,,,,,,100.0,,,,,,100.0,,1.5243667364120483,0.07749944925308228
259,C27,,,,,,,0.259,,10.0,15.0,1.78,6251.0,19029.0,32024.0,3.0439999999999996,,,,,,,,,,,,,,100.0,,,,100.0,,100.0,,,,,,,,,,,100.0,,1.7483726739883423,0.022866249084472656
109,129,Kettle,A150ND,7.28,15.0,4,11,0.349,0.35700000000000004,35.54,,,9215.0,26617.0,49602.0,2.888,4879.0,10528.0,16985.0,2.158,,29.9,,,,,,,,,70.1,,,100.0,,,,,,,,,45.7,0.9,53.4,,99.9,,1.8879318237304688,0.029629826545715332
287,C55,,,,,,,0.67,,-45.0,-44.0,1.29,10283.0,47245.0,82050.0,4.593999999999999,,,,,,100.0,,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,100.0,,1.8982055187225342,0.17560237646102905
82,86,Kettle,A150ND,5.7,24.0,8,16,0.29100000000000004,0.297,33.25,,,9668.0,26776.0,49923.0,2.77,,,,,,29.1,,,,,,,,,70.9,,,100.0,,,,,,,,,45.4,1.0,53.6,,100.0,,1.9250363111495972,0.02095794677734375
191,233,Rig,Neat,2.61,14.2,,,0.306,0.313,,,,,,,,,,,,,,,,,,,,,,85.0,15.0,,100.0,,,,,,,60.0,,40.0,,,,100.0,,2.0194754600524902,0.008296221494674683
55,59,Kettle,A150ND,5.3,10.6,,,0.42,0.43200000000000005,,,,,,,,,,,,,,,,,,,,,,85.0,15.0,,100.0,,,,,,,44.0,,45.0,1.0,10.0,,100.0,,2.0461294651031494,0.08218610286712646
269,C37,,,,,,,0.746,,10.0,11.0,6.13,6826.0,80550.0,155611.0,11.8,,,,,,,,,,,100.0,,,,,,,100.0,100.0,,,,,,,,,,,,100.0,,2.0841894149780273,0.1382761001586914
106,126,Kettle,A150ND,4.29,29.0,9,19,0.24600000000000002,0.25,31.94,,,7122.0,17137.0,31321.0,2.406,,,,,,29.2,,,,,,,,,70.8,,,100.0,,,,,,,,,46.7,0.7,52.6,,100.1,,2.104462146759033,0.026477664709091187
262,C30,,,,,,,0.614,,-12.0,-11.0,0.61,8337.0,40768.0,74910.0,4.89,,,,,,,,,100.0,,,,,,,,,100.0,,,,100.0,,,,,,,,,100.0,,2.111721992492676,0.014611005783081055
203,Resin 1c,Rig,Neat,11.4,4.8,,,0.306,0.312,55.92,,,8940.0,22812.0,35843.0,2.552,4744.0,9328.0,13271.0,1.966,,,,,,,,,,,100.0,,,100.0,,,,,,,41.7,,,,58.3,,100.0,,2.1552155017852783,0.1059340238571167
57,61,Kettle,A150ND,5.6,11.0,4,8,0.41200000000000003,0.424,89.97,,,13444.0,58562.0,157612.0,4.356,8304.0,30417.0,74285.0,3.6630000000000003,,,,,,,,,,,85.5,14.5,,100.0,,,,,,,43.2,,50.4,1.7,4.8,,100.0,,2.338610887527466,0.0024691224098205566
207,Resin 2c,Rig,Neat,8.4,9.1,,,0.41700000000000004,0.429,56.57,,,10965.0,44409.0,107497.0,4.05,5813.0,16028.0,31386.0,2.7569999999999997,,,,,,,,,,,100.0,,,100.0,,,,,,,39.8,,,1.8,58.4,,100.0,,2.433636426925659,0.011548280715942383
280,C48,,,,,,,0.607,,-8.0,-7.0,4.2,5836.0,86128.0,443846.0,14.76,,,,,,,,,,,,100.0,,,,,,100.0,,,,100.0,,,,,,,,,100.0,,2.5379648208618164,0.17041653394699097
282,C50,,,,,,,0.183,,24.0,31.0,1.61,4781.0,17268.0,50668.0,3.612,,,,,,,,,,,,100.0,,,,,,100.0,,,,,,100.0,,,,,,,100.0,,2.6088058948516846,0.24375969171524048
194,241,Rig,Neat,9.7,6.8,,,0.435,0.447,-40.55,,,10311.0,27744.0,43487.0,2.6910000000000003,,,,,100.0,,,,,,,,,,,,,100.0,,,,,,,,100.0,,,,,100.0,,2.655954360961914,0.08879852294921875
48,52,Kettle,A150ND,5.6,8.0,1,7,0.639,0.667,83.8,,,15151.0,50054.0,116318.0,3.304,9161.0,26356.0,56342.0,2.877,,,,,,,,,,,71.4,28.6,,100.0,,,,,10.0,,42.6,,45.9,1.5,,,100.0,,2.6775600910186768,0.17885088920593262
250,C18,,,,,,,0.716,,21.0,23.0,0.91,14638.0,59280.0,110243.0,4.05,,,,,,,,,,,,,,,100.0,,,100.0,,100.0,,,,,,,,,,,100.0,,2.7878811359405518,0.3112959563732147
108,128,Kettle,A150ND,4.3,18.0,7,11,0.258,0.263,31.76,,,9738.0,28428.0,65723.0,2.9189999999999996,5077.0,11043.0,20394.0,2.175,,29.8,,,,,,,,,70.2,,,100.0,,,,,,,,,45.3,1.0,53.7,,100.0,,2.8715217113494873,0.06167683005332947
61,65,Kettle,A150ND,4.6,15.0,4,11,0.266,0.271,78.89,,,9800.0,25362.0,45474.0,2.59,,,,,,,,,,,,,,,70.0,30.0,,100.0,,,,,,,,,50.0,2.0,48.0,,100.0,,3.040987968444824,0.04656127095222473
204,Resin 1d,Rig,Neat,6.3,4.7,,,0.39799999999999996,0.408,56.23,,,12457.0,33155.0,51900.0,2.662,6384.0,12848.0,18189.0,2.013,,,,,,,,,,,100.0,,,100.0,,,,,,,40.7,,,,59.3,,100.0,,3.3946738243103027,0.12275826930999756
167,187,Rig,Neat,1.31,14.20572079,,,0.512,0.53,,,,,,,,,,,,,,,,,,,,,,84.0,16.0,,100.0,,,,,,,57.9,,42.1,,,,100.0,,3.6295173168182373,0.18997737765312195
247,C15,,,,,,,0.6559999999999999,,77.0,81.0,2.45,9965.0,49542.0,86253.0,4.9719999999999995,,,,,,,,,,,,,,,100.0,,,100.0,,,,,,,100.0,,,,,,100.0,,3.7933762073516846,0.12942326068878174
241,C9,,,,,,,0.645,,21.0,23.0,3.11,13334.0,62276.0,99375.0,4.67,,,,,,,,,,,,,,,,100.0,,100.0,,100.0,,,,,,,,,,,100.0,,4.170034408569336,0.2079874873161316
60,64,Kettle,A150ND,4.4,20.0,6,14,0.214,0.217,68.45,,,8436.0,21188.0,40451.0,2.51,,,,,,,,,,,,,,,70.0,30.0,,100.0,,,,,,48.0,,,50.0,2.0,,,100.0,,4.453594207763672,0.05317501723766327
51,55,Kettle,A150ND,3.2,3.0,1,2,0.518,0.537,91.6,,,21342.0,51046.0,79399.0,2.392,10044.0,18608.0,26072.0,1.8530000000000002,,,,,,,,,,,71.1,28.9,,100.0,,,,,,,39.4,,39.6,,21.0,,99.9,,4.581937789916992,0.10366177558898926
74,78,Kettle,A150ND,1.3,16.0,7,9,0.265,0.26899999999999996,32.55,,,9279.0,22183.0,43712.0,2.391,,,,,,28.2,,,,,,,,,71.8,,,100.0,,,,,,,,,54.3,,45.7,,100.0,,5.185011863708496,0.03831067681312561
215,Resin 4c,Rig,Neat,4.2,33.87,,,0.457,0.47100000000000003,53.51,,,10015.0,93552.0,507240.0,9.341000000000001,5400.0,28188.0,109594.0,5.22,,,,,,,,,,,100.0,,,100.0,,,,,,,36.3,,,8.3,55.3,,100.0,,7.43663215637207,0.01796889305114746
195,242,Rig,Neat,2.6,7.49,,,0.456,0.47,-41.12,,,16174.0,46541.0,73754.0,2.878,,,,,100.0,,,,,,,,,,,,,100.0,,,,,,,,100.0,,,,,100.0,,9.046527862548828,0.009005218744277954
146,166,Rig,Neat,24.94,39.33963516,,,0.129,0.13,,,,,,,,,,,,,,,,,,,,,,84.5,15.5,,100.0,,,,,,,52.3,,47.2,,,,99.9,,35.60283279418945,0.00455842912197113
126,146,Rig,Neat,21.67,35.12050964,,,0.136,0.13699999999999998,,,,,,,,,,,,,,,,,,,,,,84.5,15.5,,100.0,,,,,,,,54.1,45.5,,,,99.9,,37.830604553222656,0.00891028344631195
141,161,Rig,Neat,21.13,34.41097379,,,0.136,0.13699999999999998,,,,,,,,,,,,,,,,,,,,,,84.4,15.6,,100.0,,,,,,,56.0,,43.8,,,,99.6,,37.95640182495117,0.0012681186199188232
127,147,Rig,Neat,17.35,34.84174679,,,0.14400000000000002,0.145,,,,,,,,,,,,,,,,,,,,,,84.3,15.7,,100.0,,,,,,,,55.2,44.6,,,,99.9,,39.68216323852539,0.010394185781478882
133,153,Rig,Neat,24.99,24.69968848,,,0.159,0.161,,,,,,,,,,,,,,,,,,,,,,83.8,16.3,,100.0,,,,,,,58.6,,41.3,,,,99.9,,40.03493118286133,0.013983383774757385
123,143,Rig,Neat,18.9,29.53147537,,,0.14800000000000002,0.14800000000000002,,,,,,,,,,,,,,,,,,,,,,84.5,15.5,,100.0,,,,,,,,56.4,43.3,,,,99.7,,40.6908073425293,0.009457916021347046
156,176,Rig,Neat,20.14,27.45038619,,,0.157,0.159,,,,,,,,,,,,,,,,,,,,,,84.4,15.6,,100.0,,,,,,,56.0,,43.7,,,,99.6,,41.987213134765625,0.010355189442634583
78,82,Kettle,A150ND,7.7,27.0,8,19,0.19899999999999998,0.201,29.34,,,6719.0,14098.0,23749.0,2.0980000000000003,,,,,,29.2,,,,,,,,,70.8,,,100.0,,,,,,,,,44.7,,55.3,,100.0,,45.053504943847656,0.025240913033485413
157,177,Rig,Neat,16.82,24.39823369,,,0.174,0.17600000000000002,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100.0,,,,,,,56.1,,43.5,,,,100.0,,46.034400939941406,0.01557949185371399
143,163,Rig,Neat,13.08,32.83096351,,,0.163,0.165,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100.0,,,,,,,55.0,,44.8,,,,99.7,,47.56855010986328,0.011441275477409363
107,127,Kettle,A150ND,9.1,25.0,7,18,0.253,0.257,29.34,,,4888.0,14843.0,28637.0,3.037,,,,,,30.0,,,,,,,,,70.0,,,100.0,,,,,,,,,45.6,1.0,53.5,,100.0,,48.67094802856445,0.05709467828273773
117,137,Rig,Neat,18.42,17.6,,,0.19699999999999998,0.19899999999999998,,,,,,,,,,,,,,,,,,,,,,84.4,15.6,,100.0,,,,,,,59.4,,40.5,,,,99.7,,51.48442077636719,0.02395300567150116
151,171,Rig,Neat,8.97,28.93275853,,,0.19699999999999998,0.19899999999999998,,,,,,,,,,,,,,,,,,,,,,84.2,15.8,,100.0,,,,,,,56.3,,43.5,,,,99.9,,56.44252014160156,0.025769248604774475
152,172,Rig,Neat,7.56,25.14339196,,,0.205,0.20800000000000002,,,,,,,,,,,,,,,,,,,,,,84.5,15.5,,100.0,,,,,,,55.2,,44.7,,,,99.9,,61.61920166015625,0.019003435969352722
187,228,Rig,Neat,5.3,17.2,,,0.217,,78.77,,,8803.0,18962.0,30729.0,2.15,,,,,,,,,,,,,,,84.5,15.5,,100.0,,,,,,,,54.9,45.0,,,,100.0,,64.43733215332031,0.033802106976509094
242,C10,,,,,,,0.821,,59.0,61.0,4.94,6195.0,87796.0,167675.0,14.17,,,,,,,,,,,,,,,100.0,,,100.0,100.0,,,,,,,,,,,,100.0,,69.4141845703125,0.3811521530151367
231,Resin 8c,Rig,Neat,8.3,26.87,,,0.24100000000000002,0.244,61.57,,,6338.0,22108.0,48858.0,3.488,3562.0,8871.0,16356.0,2.49,,,,,,,,,,,100.0,,,100.0,,,,,,,28.3,,19.2,3.4,49.1,,100.0,,72.74067687988281,0.02235369384288788
209,Resin 3a,Rig,Neat,13.5,30.2,,,0.203,0.20600000000000002,49.05,,,5162.0,14525.0,27386.0,2.8139999999999996,2949.0,6269.0,10212.0,2.126,,,,,,,,,,,100.0,,,100.0,,,,,,,38.0,,,3.9,58.1,,100.0,,77.89190673828125,0.005532428622245789
172,197,Rig,Neat,6.23,15.99733063,,,0.268,0.273,,,,,,,,,,,,,,,,,,,,,,84.9,15.1,,100.0,,,,,,,57.7,,42.2,,,,99.9,,78.09510803222656,0.04324235022068024
153,173,Rig,Neat,5.19,18.99375754,,,0.23800000000000002,0.242,,,,,,,,,,,,,,,,,,,,,,84.4,15.6,,100.0,,,,,,,56.1,,43.7,,,,99.7,,79.47982025146484,0.018702581524848938
77,81,Kettle,A150ND,2.02,33.0,13,20,0.198,0.2,31.15,,,7691.0,16310.0,26542.0,2.121,,,,,,29.2,,,,,,,,,70.8,,,100.0,,,,,,,,,45.2,,54.8,,100.0,,85.21903228759766,0.010674729943275452
80,84,Kettle,A150ND,6.8,20.0,6,13,0.396,0.406,34.33,,,10722.0,49529.0,142542.0,4.619,,,,,,28.6,,,,,,,,,71.4,,,100.0,,,,,,,,,46.5,2.6,50.9,,100.0,,101.11469268798828,0.07034939527511597
87,91,Kettle,A150ND,5.1,19.0,6,14,0.32299999999999995,0.33,34.49,,,13896.0,48970.0,111016.0,3.5239999999999996,,,,,,29.1,,,,,,,,,70.9,,,100.0,,,,,,,,,45.7,1.0,53.3,,100.4,,102.85020446777344,0.0035027265548706055
85,89,Kettle,A150ND,5.5,12.8,,,0.444,0.45799999999999996,,,,,,,,,,,,,30.0,,,,,,,,,70.0,,,100.0,,,,,,,,,45.0,2.0,53.0,,100.0,,107.76590728759766,0.10293370485305786
0,1,Kettle,A150ND,4.5,19.0,3,16,0.27899999999999997,,81.65,,,9789.0,24619.0,44116.0,2.515,,,,,,,,,30.6,,,,,,49.8,19.6,,100.0,,,,,,,59.1,,40.1,0.8,,,100.0,,109.40049743652344,0.049547865986824036
64,68,Kettle,A150ND,6.0,14.0,5,9,0.316,0.32299999999999995,97.76,,,11230.0,30681.0,56571.0,2.73,,,,,,,,,30.6,,,,,,50.0,19.4,,100.0,,,,,,,38.8,,60.1,1.1,,,100.0,,121.30533599853516,0.044693946838378906
103,107,Kettle ,A150ND,4.9,21.0,6,15,0.306,0.312,102.4,,,10197.0,35888.0,87172.0,3.5189999999999997,5341.0,13353.0,26299.0,2.5,,4.7,,,,,,,,,46.4,48.9,,100.0,,,,,,,,,50.0,3.0,9.8,37.1,100.0,,124.0654067993164,0.013112038373947144
62,66,Kettle,A150ND,4.46,14.0,2,12,0.313,0.319,88.86,,,10955.0,28004.0,49712.0,2.56,,,,,,,,,30.5,,,,,,49.8,19.7,,100.0,,,,,,,48.4,,50.8,0.8,,,100.0,,130.23426818847656,0.04337817430496216
66,70,Kettle,A150ND,3.98,15.0,2,13,0.304,0.31,89.52,,,10650.0,27181.0,48418.0,2.55,,,,,,,,,29.6,,,,,,48.4,22.0,,100.0,,,,,,,48.5,,50.7,0.7,,,100.0,,135.936279296875,0.041568368673324585
169,193,Rig,Neat,2.1,14.58360836,,,0.27,0.275,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100.0,,,,,,,57.8,,42.0,,,,99.9,,139.0279541015625,0.006827205419540405
136,156,Rig,Neat,6.1,6.03432744,,,0.38299999999999995,0.39299999999999996,,,,,,,,,,,,,,,,,,,,,,84.7,15.3,,100.0,,,,,,,60.6,,39.4,,,,99.8,,143.42689514160156,0.056283652782440186
54,58,Kettle,A150ND,2.8,17.0,4,13,0.29100000000000004,0.297,80.9,,,9240.0,33614.0,67490.0,3.638,5890.0,18189.0,34129.0,3.088,,,,,,,,,,,85.2,14.8,,100.0,,,,,,,43.6,,44.9,1.8,9.8,,100.0,,145.2466583251953,0.017348110675811768
197,244,Rig,Neat,0.97,1.3,,,0.6920000000000001,0.726,-40.74,,,8278.0,20705.0,33318.0,2.501,,,,,100.0,,,,,,,,,,,,,100.0,,,,,,,100.0,,,,,,100.0,,148.01431274414062,0.04191333055496216
86,90,Kettle,A150ND,4.5,6.0,2,4,0.436,0.449,36.7,,,15062.0,41426.0,64364.0,2.75,,,,,,29.0,,,,,,,,,71.0,,,100.0,,,,,,,,,45.1,,54.9,,100.0,,149.69140625,0.01944679021835327
285,C53,,,,,,,0.078,,50.0,130.0,3.58,999.0,1708.0,2772.0,1.71,,,,,,,,,,,,100.0,,,,,,100.0,,,,,,,,,100.0,,,,100.0,,164.98020935058594,0.004621587693691254
105,125,Kettle,A150ND,1.1,20.0,20,0,0.249,0.253,37.51,,,9486.0,20124.0,31384.0,2.121,,,,,15.5,,,,,,,,,,51.8,32.7,,100.0,,,,,,75.5,24.5,,,,,,100.0,,176.35400390625,0.026326313614845276
258,C26,,,,,,,0.127,,92.0,152.0,0.2,3226.0,7592.0,12943.0,2.353,,,,,,,,,,,,,,100.0,,,,100.0,,,,,,,,,100.0,,,,100.0,,185.9842987060547,0.023972690105438232
174,199,Rig,Neat,1.26,9.367683284,,,0.425,0.43700000000000006,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100.0,,,,,,,58.4,,41.4,,,,99.9,,228.31912231445312,0.0766465961933136
137,157,Rig,Neat,3.22,4.307363748,,,0.563,0.585,,,,,,,,,,,,,,,,,,,,,,84.9,15.1,,100.0,,,,,,,60.2,,39.7,,,,99.7,,250.21229553222656,0.1392056941986084
245,C13,,,,,,,0.7490000000000001,,3.0,4.0,0.55,14666.0,60549.0,106708.0,4.129,,,,,,,,,,,,,,,100.0,,,100.0,,,,,100.0,,,,,,,,100.0,,252.68182373046875,0.27499130368232727
1,2,Kettle,A150ND,0.7,19.0,5,14,0.321,,85.75,,,12262.0,29295.0,51337.0,2.3890000000000002,,,,,,,,,30.5,,,,,,49.7,19.7,,100.0,,,,,,,53.9,,45.3,0.8,,,100.0,,322.34625244140625,0.04997164011001587
46,50,Kettle,A150ND,3.1,5.0,2,3,0.494,0.51,69.05,,,19652.0,42934.0,64851.0,2.185,11630.0,23100.0,,,,,,,,,,,,,71.1,28.9,,100.0,,,,,9.7,,45.5,,22.5,,,22.4,100.0,,405.8486022949219,0.07180982828140259
295,C63,,,,,,,0.5479999999999999,,-46.0,-45.0,0.43,12837.0,41046.0,72106.0,3.197,,,,,,100.0,,,,,,,,,,,,100.0,,100.0,,,,,,,,,,,,,422.6026916503906,0.003551304340362549
222,Resin 6b,Rig,Neat,3.8,17.6,,,0.551,0.5720000000000001,37.26,,,9626.0,111316.0,587195.0,11.564,5510.0,32843.0,123859.0,5.961,,14.3,,,,,,,,,85.7,,,100.0,,,,,,,38.7,,,3.8,57.5,,100.0,,435.2725524902344,0.008779048919677734
99,103,Kettle ,A150ND,0.9,39.0,39,0,0.479,0.495,55.36,,,12448.0,83595.0,555527.0,6.716,,,,,10.1,,,,,,,,,,65.7,24.2,,100.0,,,,,,,41.1,52.8,,6.1,,,100.0,,448.47454833984375,0.13018235564231873
246,C14,,,,,,,0.706,,64.0,66.0,1.29,15243.0,82050.0,148293.0,5.382999999999999,,,,,,,,,,,,,,,100.0,,,100.0,,,,,,100.0,,,,,,,100.0,,528.2525634765625,0.3263092637062073
212,Resin 3d,Rig,Neat,3.8,15.3,,,0.8029999999999999,0.8490000000000001,57.08,,,14340.0,233183.0,1536429.0,16.261,7545.0,59672.0,286184.0,7.909,,,,,,,,,,,100.0,,,100.0,,,,,,,38.7,,,3.9,57.4,,100.0,,745.0079956054688,0.14519226551055908
224,Resin 6d,Rig,Neat,2.5,16.82,,,1.091,1.181,37.97,,,10182.0,299226.0,2488728.0,29.388,5936.0,71757.0,429919.0,12.09,,14.2,,,,,,,,,85.8,,,100.0,,,,,,,38.7,,,4.0,57.4,,100.0,,828.8157958984375,0.3638872504234314
