Simple_tg_r2,Simple_tg_mae,Simple_iv_r2,Simple_iv_mae,OH_tg_r2,OH_tg_mae,OH_iv_r2,OH_iv_mae,OH+Mw_tg_r2,OH+Mw_tg_mae,OH+Mw_iv_r2,OH+Mw_iv_mae,CM_tg_r2,CM_tg_mae,CM_iv_r2,CM_iv_mae,BOB_tg_r2,BOB_tg_mae,BOB_iv_r2,BOB_iv_mae,PI (50)_tg_r2,PI (50)_tg_mae,PI (50)_iv_r2,PI (50)_iv_mae,SOAP_tg_r2,SOAP_tg_mae,SOAP_iv_r2,SOAP_iv_mae,MBTR_tg_r2,MBTR_tg_mae,MBTR_iv_r2,MBTR_iv_mae
-0.5355,37.6048,0.1451,0.1435,0.5398,16.3303,0.4217,0.1181,0.5779,16.4956,0.5311,0.1051,0.8242,10.2410,0.6800,0.0821,0.8405,9.9359,0.6590,0.0826,0.8200,10.6448,0.6920,0.0801,0.7928,11.0511,0.6630,0.0814,0.7956,9.1776,0.7233,0.0798
-0.5005,37.3932,0.0775,0.1455,0.5668,16.4308,0.4207,0.1183,0.5824,16.6292,0.4629,0.1055,0.8473,9.8898,0.6737,0.0787,0.8402,9.8421,0.6930,0.0780,0.8281,10.5157,0.7011,0.0799,0.8451,9.9808,0.6358,0.0850,0.8487,8.0115,0.7201,0.0799
-0.6497,37.4953,0.1069,0.1466,0.5621,16.3653,0.3523,0.1207,0.5715,16.5465,0.4648,0.1098,0.8233,10.2404,0.6887,0.0775,0.8322,10.1084,0.6768,0.0784,0.8267,10.4262,0.7065,0.0806,0.8017,11.3421,0.6541,0.0828,0.8635,7.9315,0.7171,0.0808
-0.5485,37.8262,0.0640,0.1440,0.5880,16.3180,0.4527,0.1162,0.5766,16.3906,0.5005,0.1051,0.8555,9.8236,0.6526,0.0806,0.8252,10.1155,0.6335,0.0797,0.8382,10.2755,0.7174,0.0798,0.8258,10.4352,0.6764,0.0816,0.8766,7.6838,0.7042,0.0803
-0.5510,37.4926,0.1072,0.1426,0.5275,16.4762,0.4078,0.1187,0.5979,16.3171,0.4720,0.1078,0.8092,10.4775,0.7077,0.0762,0.8190,10.2225,0.6443,0.0800,0.8248,10.5475,0.6961,0.0800,0.8446,9.7862,0.7083,0.0776,0.8717,7.8565,0.7189,0.0800
-0.5008,37.4754,0.0697,0.1449,0.5653,16.4536,0.4240,0.1175,0.5743,16.6055,0.5002,0.1035,0.8732,9.4839,0.6285,0.0841,0.8395,10.0698,0.6432,0.0847,0.7332,11.4327,0.7267,0.0786,0.8436,9.4665,0.7016,0.0764,0.8505,8.0834,0.6957,0.0805
-0.4857,37.4322,0.1546,0.1427,0.5472,16.7260,0.4087,0.1184,0.5745,16.7806,0.5611,0.1039,0.8767,9.3692,0.6936,0.0777,0.8321,10.2241,0.6261,0.0825,0.8231,10.7262,0.7016,0.0819,0.8458,9.8467,0.6014,0.0809,0.8622,8.0471,0.7104,0.0799
-0.5230,37.5389,0.1572,0.1440,0.5606,16.7624,0.4212,0.1198,0.5682,16.5828,0.5330,0.1073,0.8622,9.6446,0.6343,0.0802,0.8251,9.8576,0.6576,0.0819,0.8166,10.7383,0.6911,0.0820,0.8623,9.5108,0.6923,0.0773,0.8799,7.7317,0.7222,0.0798
-0.4776,37.5021,0.0320,0.1454,0.5479,16.2857,0.4605,0.1169,0.5379,16.6362,0.5302,0.1021,0.8474,9.8645,0.6954,0.0763,0.8587,9.4157,0.6208,0.0817,0.8165,10.2898,0.7052,0.0815,0.8367,10.3837,0.5882,0.0841,0.8747,7.7272,0.7063,0.0799
-0.5516,37.5388,0.0414,0.1450,0.5210,16.2583,0.4349,0.1177,0.5857,16.6315,0.5028,0.1049,0.8330,9.9649,0.6561,0.0834,0.8246,10.0397,0.6570,0.0803,0.8301,10.3305,0.7003,0.0811,0.7999,10.3550,0.4636,0.0886,0.8413,8.0648,0.7152,0.0795
-0.5080,37.6955,0.1397,0.1446,0.5697,16.2389,0.4459,0.1174,0.5699,16.1991,0.5153,0.1082,0.8599,9.4401,0.6828,0.0780,0.8040,10.0372,0.6898,0.0782,0.8089,10.5891,0.7127,0.0801,0.8353,10.0332,0.6757,0.0793,0.8607,8.2129,0.7099,0.0811
-0.4732,37.5670,0.1126,0.1451,0.5814,15.9750,0.3872,0.1203,0.5784,16.1299,0.5482,0.1034,0.8466,9.6754,0.6927,0.0773,0.8225,10.3950,0.6380,0.0842,0.8075,10.8010,0.7115,0.0800,0.8517,9.6913,0.6897,0.0791,0.8385,7.7206,0.6981,0.0797
-0.4904,37.5875,0.0452,0.1460,0.5701,16.2035,0.3803,0.1212,0.5587,16.3921,0.5546,0.1030,0.7979,10.6050,0.6268,0.0849,0.8420,9.7225,0.6636,0.0811,0.8396,10.2040,0.7010,0.0810,0.8376,10.2860,0.6262,0.0841,0.8671,7.7104,0.6879,0.0821
-0.4952,37.4244,0.0966,0.1449,0.5556,16.4643,0.4377,0.1190,0.5681,16.3933,0.5113,0.1055,0.8495,9.6090,0.6751,0.0796,0.8505,9.3900,0.6748,0.0805,0.8210,10.5249,0.6885,0.0819,0.7945,10.5311,0.6241,0.0842,0.8765,7.8061,0.6907,0.0826
-0.5047,37.3735,0.1210,0.1433,0.5799,16.1357,0.4153,0.1188,0.5613,16.4687,0.5310,0.1056,0.8491,9.8559,0.6719,0.0791,0.8197,10.0301,0.6389,0.0804,0.8087,10.6246,0.6977,0.0802,0.8653,9.2812,0.6832,0.0771,0.8526,7.8962,0.6899,0.0813
-0.4851,37.6032,-0.0227,0.1491,0.5953,16.1884,0.4004,0.1213,0.5580,16.5798,0.5321,0.1040,0.8590,9.5258,0.6790,0.0787,0.8296,9.8088,0.6811,0.0781,0.8134,10.5156,0.7037,0.0809,0.8654,9.6297,0.6503,0.0831,0.8797,7.2010,0.7197,0.0796
-0.5478,37.5909,0.0594,0.1435,0.4716,16.6409,0.4328,0.1182,0.5701,16.7066,0.5194,0.1051,0.8644,9.2343,0.6917,0.0761,0.8528,9.8402,0.6523,0.0838,0.8230,10.9178,0.6999,0.0799,0.8520,9.7186,0.6656,0.0828,0.8591,7.8964,0.7272,0.0796
-0.4952,37.5784,0.1349,0.1437,0.5738,16.2652,0.4381,0.1176,0.5844,16.6094,0.5352,0.1023,0.8557,9.8347,0.6791,0.0772,0.8455,9.5975,0.6676,0.0807,0.8374,10.5557,0.6769,0.0808,0.8630,9.5485,0.6555,0.0841,0.8579,8.2279,0.7188,0.0801
-0.5599,37.6022,-0.0237,0.1478,0.5796,16.3514,0.3819,0.1197,0.5696,16.1640,0.4762,0.1056,0.8562,9.6774,0.6966,0.0767,0.8531,9.6563,0.6513,0.0812,0.8313,10.5010,0.7188,0.0796,0.8422,9.9931,0.6591,0.0807,0.8186,9.1141,0.6941,0.0808
-0.5017,37.4291,0.0649,0.1438,0.5610,16.4200,0.4088,0.1217,0.5705,16.4331,0.5534,0.1044,0.8607,9.8591,0.6882,0.0793,0.8327,9.5841,0.6815,0.0795,0.7923,11.1409,0.6957,0.0802,0.8467,9.8260,0.6797,0.0798,0.8630,7.6902,0.6995,0.0803
-0.5361,37.3738,0.1479,0.1437,0.5451,16.8599,0.4204,0.1183,0.5564,16.4778,0.5425,0.1044,0.8650,9.3345,0.6823,0.0756,0.8354,9.8937,0.6069,0.0883,0.8298,10.5999,0.7013,0.0813,0.8471,9.8832,0.7003,0.0783,0.8603,7.7927,0.7193,0.0786
-0.4664,37.3941,0.1022,0.1437,0.5749,16.3728,0.4308,0.1190,0.5719,16.7055,0.5465,0.1027,0.8419,9.7391,0.6597,0.0779,0.8465,9.6853,0.6804,0.0777,0.8331,10.3644,0.7049,0.0808,0.7861,11.2854,0.6624,0.0795,0.8601,7.6480,0.7099,0.0807
-0.5410,37.7637,0.1077,0.1455,0.5780,16.1633,0.4164,0.1186,0.5508,16.7104,0.5403,0.1056,0.8300,9.9209,0.6979,0.0773,0.8459,9.8822,0.6485,0.0798,0.8139,10.7835,0.6972,0.0807,0.8597,9.2817,0.6516,0.0818,0.8697,8.2972,0.7242,0.0803
-0.4915,37.6472,0.0377,0.1463,0.5525,16.6193,0.4099,0.1188,0.5582,16.5918,0.5273,0.1040,0.8643,9.7132,0.6575,0.0801,0.8151,10.5891,0.6630,0.0804,0.8195,10.5917,0.7106,0.0798,0.8470,9.6439,0.6525,0.0823,0.8757,8.0337,0.7170,0.0812
-0.4546,37.4936,0.0720,0.1478,0.5568,16.1339,0.3954,0.1173,0.5924,16.3344,0.4849,0.1074,0.8402,9.9363,0.6409,0.0838,0.8640,9.3265,0.6498,0.0832,0.8031,10.5525,0.7244,0.0797,0.8777,8.9996,0.6906,0.0795,0.8242,8.2584,0.7161,0.0809
-0.4958,37.4319,0.0554,0.1445,0.5806,16.5141,0.4068,0.1185,0.5766,16.2305,0.5519,0.1013,0.8560,9.6523,0.7092,0.0784,0.8529,9.6821,0.6440,0.0844,0.8235,10.5439,0.6994,0.0805,0.8663,9.4252,0.6388,0.0844,0.8682,7.7381,0.7138,0.0789
-0.5571,37.6466,0.0555,0.1453,0.5797,16.2377,0.4228,0.1187,0.6125,16.0847,0.4812,0.1081,0.8387,9.9140,0.6847,0.0757,0.8352,9.8006,0.6433,0.0794,0.8283,10.4091,0.6781,0.0821,0.8488,9.6550,0.7052,0.0779,0.8850,7.2003,0.7094,0.0808
-0.4552,37.5200,0.0895,0.1443,0.5761,16.4664,0.4443,0.1166,0.5744,16.4427,0.5640,0.1038,0.8581,9.5575,0.6662,0.0780,0.8614,9.6364,0.5944,0.0857,0.7903,10.5625,0.6895,0.0810,0.8516,9.8647,0.6662,0.0816,0.8644,7.7492,0.7247,0.0796
-0.4885,37.5869,0.0875,0.1439,0.5891,16.4151,0.4314,0.1172,0.5583,16.7580,0.5663,0.1038,0.8705,9.3070,0.6944,0.0766,0.8320,10.3682,0.6816,0.0771,0.8350,10.5607,0.6998,0.0800,0.8411,10.0732,0.6829,0.0774,0.8717,7.6421,0.7039,0.0814
-0.4669,37.5838,0.1344,0.1435,0.5751,16.1242,0.4474,0.1180,0.5827,16.1202,0.5299,0.1040,0.8092,10.4554,0.6680,0.0807,0.8528,9.8056,0.6574,0.0792,0.8375,10.6591,0.6845,0.0801,0.8446,10.0441,0.6811,0.0786,0.8047,8.2025,0.7044,0.0800
-0.4999,37.3774,0.0796,0.1469,0.5832,16.1740,0.4337,0.1173,0.5670,16.7206,0.5484,0.1014,0.7605,10.9100,0.6870,0.0788,0.8317,10.2879,0.6432,0.0817,0.7957,10.7594,0.7033,0.0832,0.8349,10.1266,0.6006,0.0839,0.8868,7.4701,0.7066,0.0798
-0.4787,37.4129,0.1153,0.1438,0.5268,16.7580,0.3865,0.1214,0.5835,16.1441,0.5382,0.1059,0.8615,9.6204,0.7191,0.0764,0.8134,9.4845,0.6585,0.0805,0.8140,10.9327,0.6807,0.0817,0.8431,10.1115,0.6322,0.0846,0.8753,7.8260,0.6804,0.0831
-0.4715,37.4604,0.0994,0.1442,0.5309,16.3701,0.4122,0.1193,0.5730,16.5941,0.5088,0.1071,0.8611,9.2947,0.6704,0.0807,0.8437,10.0679,0.6623,0.0817,0.8403,10.4237,0.7016,0.0796,0.8162,10.2730,0.6765,0.0795,0.8815,7.7576,0.7116,0.0812
-0.5467,37.4891,0.1193,0.1446,0.5536,16.5032,0.4466,0.1169,0.5847,16.2656,0.5413,0.1049,0.8394,10.1819,0.6016,0.0875,0.8618,9.4307,0.6863,0.0771,0.7927,11.3342,0.7099,0.0795,0.8542,9.5424,0.6678,0.0802,0.8644,8.3992,0.7124,0.0807
-0.5848,37.8745,0.1017,0.1446,0.5827,16.2195,0.4193,0.1174,0.5788,16.5355,0.5129,0.1051,0.8470,9.8066,0.6589,0.0794,0.8406,9.7791,0.6162,0.0835,0.8049,10.9368,0.6974,0.0805,0.8340,10.1350,0.7000,0.0751,0.8416,8.3753,0.7063,0.0808
-0.4634,37.4386,0.0992,0.1457,0.5695,16.1290,0.4355,0.1185,0.5581,16.2821,0.5180,0.1060,0.8610,9.8975,0.6565,0.0810,0.8385,9.8970,0.6749,0.0787,0.8220,10.9506,0.7155,0.0787,0.7959,11.1739,0.6642,0.0808,0.8710,7.3444,0.7208,0.0791
-0.5215,37.5130,0.0453,0.1495,0.5705,16.0280,0.4199,0.1194,0.5794,16.3483,0.5402,0.1031,0.8653,9.3869,0.6897,0.0787,0.8345,10.0636,0.6437,0.0823,0.8122,10.8476,0.6991,0.0816,0.8603,9.2996,0.7027,0.0793,0.8800,7.6053,0.7163,0.0804
-0.4899,37.7157,0.0726,0.1447,0.6110,16.2107,0.4361,0.1188,0.5843,16.5533,0.4910,0.1079,0.7951,10.7392,0.6480,0.0826,0.8368,10.1320,0.6574,0.0804,0.8165,10.7805,0.6776,0.0824,0.8022,10.3315,0.6374,0.0816,0.8721,7.9221,0.7072,0.0806
-0.5055,37.5463,0.1768,0.1430,0.5632,16.2143,0.4120,0.1191,0.5192,16.8379,0.4821,0.1078,0.8122,10.5928,0.6275,0.0824,0.8335,9.9108,0.6462,0.0822,0.7990,10.8845,0.6838,0.0820,0.8387,10.4605,0.6494,0.0829,0.8316,8.4742,0.6689,0.0814
-0.5131,37.5609,0.0618,0.1467,0.5890,16.1996,0.4043,0.1194,0.5834,16.5349,0.5416,0.1045,0.8654,9.6006,0.6345,0.0820,0.8377,9.7022,0.6510,0.0811,0.8222,10.5091,0.7070,0.0802,0.8625,9.2284,0.6711,0.0799,0.8568,8.1999,0.6810,0.0820
-0.5455,37.6593,0.1284,0.1439,0.5520,16.4238,0.4100,0.1184,0.5822,16.3232,0.5559,0.1009,0.8401,10.0216,0.6928,0.0756,0.8589,9.4436,0.6216,0.0825,0.8210,10.6941,0.6836,0.0795,0.8386,10.1723,0.6429,0.0807,0.8274,8.1150,0.7142,0.0801
-0.4764,37.4280,0.1350,0.1438,0.5414,16.6837,0.4286,0.1186,0.5979,16.5031,0.5700,0.1005,0.8508,9.7104,0.6521,0.0819,0.8278,10.1621,0.6969,0.0779,0.8138,10.4098,0.7008,0.0793,0.8421,9.9816,0.6733,0.0782,0.8502,8.2532,0.7158,0.0783
-0.4503,37.3472,0.1091,0.1440,0.5943,16.5735,0.4054,0.1192,0.5971,16.4190,0.5316,0.1055,0.8460,9.4496,0.6877,0.0784,0.8335,10.1509,0.6853,0.0774,0.7901,11.1371,0.7022,0.0808,0.8280,10.1456,0.6729,0.0784,0.8699,7.6389,0.6530,0.0813
-0.4584,37.3998,0.1046,0.1458,0.5773,16.3150,0.4083,0.1206,0.5553,16.7935,0.5499,0.1034,0.8637,9.3590,0.6030,0.0842,0.8491,9.9909,0.6805,0.0775,0.8353,10.5592,0.7025,0.0805,0.7679,11.3670,0.6684,0.0805,0.8737,7.7134,0.6839,0.0821
-0.4467,37.4218,0.1001,0.1433,0.5693,16.2446,0.3875,0.1200,0.5652,16.7689,0.5269,0.1051,0.8556,9.3875,0.6771,0.0778,0.8099,10.3139,0.6777,0.0803,0.8134,10.8847,0.6811,0.0810,0.8413,9.9133,0.6495,0.0808,0.8259,8.3638,0.7087,0.0805
-0.4634,37.4364,0.1060,0.1449,0.5499,16.4005,0.4167,0.1200,0.5683,16.3948,0.4888,0.1068,0.8517,9.9163,0.7047,0.0783,0.8502,9.7322,0.6668,0.0777,0.8288,10.4231,0.6922,0.0800,0.8752,8.9754,0.6754,0.0772,0.8672,7.8889,0.7112,0.0806
-0.5873,37.6900,0.0635,0.1462,0.5701,16.2764,0.4287,0.1195,0.5752,16.2794,0.5514,0.1003,0.8538,9.8356,0.6945,0.0779,0.8413,9.7270,0.6692,0.0800,0.8011,10.8849,0.6893,0.0824,0.8207,10.2589,0.6876,0.0807,0.8229,8.6697,0.7146,0.0808
-0.4525,37.3876,0.1167,0.1449,0.5364,16.2708,0.4364,0.1165,0.5852,16.5287,0.5323,0.1029,0.8430,9.9224,0.6757,0.0748,0.8628,9.6391,0.6701,0.0805,0.8258,10.4110,0.6861,0.0803,0.8250,10.0364,0.6419,0.0851,0.8887,7.7771,0.7100,0.0805
-0.4762,37.3590,0.1335,0.1440,0.5634,16.4204,0.4227,0.1167,0.5581,16.3507,0.5476,0.1028,0.8562,9.7230,0.6686,0.0783,0.8291,9.7062,0.6847,0.0784,0.7142,12.0254,0.7090,0.0794,0.8611,9.6010,0.6683,0.0808,0.8621,7.9653,0.6834,0.0813
-0.7231,37.9781,0.0755,0.1455,0.5640,16.5945,0.4213,0.1186,0.5728,16.5570,0.5546,0.1016,0.8484,9.5444,0.6671,0.0791,0.8530,9.6798,0.6774,0.0803,0.8051,10.8843,0.7157,0.0801,0.8221,10.6045,0.6851,0.0774,0.8377,8.8659,0.7171,0.0808